"Supplementary_Data_1. List of plant species selected for the study, including details of the plant part used, extraction method, and corresponding references. The database(s) referred to for data collection are also included.",,,,,
Taxa,Plant part_Methodology,Year,Author_Year,Database,References
Discocactus cristallophilus,Flower_HS,1995,Kaiser_1995,PHEROBASE,"Kaiser, R., & Tollsten, L. (1995). An introduction to the scent of cacti. Flavour and Fragrance Journal, 10(3), 153-164."
Discocactus silicicola,Flower_HS,1995,Kaiser_1995,PHEROBASE,"Kaiser, R., & Tollsten, L. (1995). An introduction to the scent of cacti. Flavour and Fragrance Journal, 10(3), 153-164."
Harrisia adscendens,Flower_HS,1995,Kaiser_1995,PHEROBASE,"Kaiser, R., & Tollsten, L. (1995). An introduction to the scent of cacti. Flavour and Fragrance Journal, 10(3), 153-164."
Pilosocereus arrabidae,Flower_HS,1995,Kaiser_1995,PHEROBASE,"Kaiser, R., & Tollsten, L. (1995). An introduction to the scent of cacti. Flavour and Fragrance Journal, 10(3), 153-164."
Pilosocereus catingicola,Flower_HS,1995,Kaiser_1995,PHEROBASE,"Kaiser, R., & Tollsten, L. (1995). An introduction to the scent of cacti. Flavour and Fragrance Journal, 10(3), 153-164."
Pilosocereus pachycladus,Flower_HS,1995,Kaiser_1995,PHEROBASE,"Kaiser, R., & Tollsten, L. (1995). An introduction to the scent of cacti. Flavour and Fragrance Journal, 10(3), 153-164."
Espostoa blossfeldiorum,Flower_HS,1995,Kaiser_1995,PHEROBASE,"Kaiser, R., & Tollsten, L. (1995). An introduction to the scent of cacti. Flavour and Fragrance Journal, 10(3), 153-164."
Pereskia aculeata,Flower_HS,1995,Kaiser_1995,PHEROBASE,"Kaiser, R., & Tollsten, L. (1995). An introduction to the scent of cacti. Flavour and Fragrance Journal, 10(3), 153-164."
Acnistus arborescens,Flower_HS,2000,Kaiser_2000,PHEROBASE,"Kaiser, R. (2000). Scents from rain forests. Chimia, 54(6), 346-346."
Inga marginata,Flower_HS,2000,Kaiser_2000,PHEROBASE,"Kaiser, R. (2000). Scents from rain forests. Chimia, 54(6), 346-346."
Posoqueria latifolia,Flower_HS,2000,Kaiser_2000,PHEROBASE,"Kaiser, R. (2000). Scents from rain forests. Chimia, 54(6), 346-346."
Macoubea guianensis,Flower_HS,2000,Kaiser_2000,PHEROBASE,"Kaiser, R. (2000). Scents from rain forests. Chimia, 54(6), 346-346."
Couroupita guianensis,Flower_HS,2000,Kaiser_2000,PHEROBASE,"Kaiser, R. (2000). Scents from rain forests. Chimia, 54(6), 346-346."
Lecythis sp.,Flower_HS,2000,Kaiser_2000,PHEROBASE,"Kaiser, R. (2000). Scents from rain forests. Chimia, 54(6), 346-346."
Lecythis persistens,Flower_HS,2000,Kaiser_2000,PHEROBASE,"Kaiser, R. (2000). Scents from rain forests. Chimia, 54(6), 346-346."
Epidendrum ciliare,Flower_HS,2000,Kaiser_2000,PHEROBASE,"Kaiser, R. (2000). Scents from rain forests. Chimia, 54(6), 346-346."
Cochleostema odoratissima,Flower_HS,2000,Kaiser_2000,PHEROBASE,"Kaiser, R. (2000). Scents from rain forests. Chimia, 54(6), 346-346."
Aerangis confusa,Flower_HS,2004,Kaiser_2004,PHEROBASE,"Kaiser, R. (2005). Vanishing flora–lost chemistry: The scents of endangered plants around the world. Perspectives in flavor and fragrance research, 15-29."
Aerangis kirkii,Flower_HS,2004,Kaiser_2004,PHEROBASE,"Kaiser, R. (2005). Vanishing flora–lost chemistry: The scents of endangered plants around the world. Perspectives in flavor and fragrance research, 15-29."
Anthurium  fragrantissimum,Flower_HS,1998,Kuanprasert_1998,PHEROBASE,"Kuanprasert, N., Kuehnle, A. R., & Tang, C. S. (1998). Floral fragrance compounds of some Anthurium (Araceae) species and hybrids. Phytochemistry, 49(2), 521-528."
Anthurium  lindenianum,Flower_HS,1998,Kuanprasert_1998,PHEROBASE,"Kuanprasert, N., Kuehnle, A. R., & Tang, C. S. (1998). Floral fragrance compounds of some Anthurium (Araceae) species and hybrids. Phytochemistry, 49(2), 521-528."
Anthurium  ochranthum,Flower_HS,1998,Kuanprasert_1998,PHEROBASE,"Kuanprasert, N., Kuehnle, A. R., & Tang, C. S. (1998). Floral fragrance compounds of some Anthurium (Araceae) species and hybrids. Phytochemistry, 49(2), 521-528."
Anthurium  roseospadix,Flower_HS,1998,Kuanprasert_1998,PHEROBASE,"Kuanprasert, N., Kuehnle, A. R., & Tang, C. S. (1998). Floral fragrance compounds of some Anthurium (Araceae) species and hybrids. Phytochemistry, 49(2), 521-528."
Anthurium  armeniense,Flower_HS,1998,Kuanprasert_1998,PHEROBASE,"Kuanprasert, N., Kuehnle, A. R., & Tang, C. S. (1998). Floral fragrance compounds of some Anthurium (Araceae) species and hybrids. Phytochemistry, 49(2), 521-528."
Anthurium armeniense,Flower_HA,1998,Kuanprasert_1998,PHEROBASE,"Kuanprasert, N., Kuehnle, A. R., & Tang, C. S. (1998). Floral fragrance compounds of some Anthurium (Araceae) species and hybrids. Phytochemistry, 49(2), 521-528."
Anthurium armeniense,Flower_SE,1998,Kuanprasert_1998,PHEROBASE,"Kuanprasert, N., Kuehnle, A. R., & Tang, C. S. (1998). Floral fragrance compounds of some Anthurium (Araceae) species and hybrids. Phytochemistry, 49(2), 521-528."
Anthurium lindenianum,Flower_HA,1998,Kuanprasert_1998,PHEROBASE,"Kuanprasert, N., Kuehnle, A. R., & Tang, C. S. (1998). Floral fragrance compounds of some Anthurium (Araceae) species and hybrids. Phytochemistry, 49(2), 521-528."
Anthurium lindenianum,Flower_SE,1998,Kuanprasert_1998,PHEROBASE,"Kuanprasert, N., Kuehnle, A. R., & Tang, C. S. (1998). Floral fragrance compounds of some Anthurium (Araceae) species and hybrids. Phytochemistry, 49(2), 521-528."
Anthurium ochranthum,Flower_HA,1998,Kuanprasert_1998,PHEROBASE,"Kuanprasert, N., Kuehnle, A. R., & Tang, C. S. (1998). Floral fragrance compounds of some Anthurium (Araceae) species and hybrids. Phytochemistry, 49(2), 521-528."
Anthurium ochranthum,Flower_SE,1998,Kuanprasert_1998,PHEROBASE,"Kuanprasert, N., Kuehnle, A. R., & Tang, C. S. (1998). Floral fragrance compounds of some Anthurium (Araceae) species and hybrids. Phytochemistry, 49(2), 521-528."
Mystacidium venosum (Sample 1),Flower_HS,2001,Luyt_2001,PHEROBASE,"Luyt, R., & Johnson, S. D. (2001). Hawkmoth pollination of the African epiphytic orchid Mystacidium venosum, with special reference to flower and pollen longevity. Plant Systematics and Evolution, 228(1), 49-62."
Mystacidium venosum (Sample 2),Flower_HS,2001,Luyt_2001,PHEROBASE,"Luyt, R., & Johnson, S. D. (2001). Hawkmoth pollination of the African epiphytic orchid Mystacidium venosum, with special reference to flower and pollen longevity. Plant Systematics and Evolution, 228(1), 49-62."
Ophrys exaltata,Labellum_Hexane,2005,Mant_2005,PHEROBASE,"Mant, J., Brändli, C., Vereecken, N. J., Schulz, C. M., Francke, W., & Schiestl, F. P. (2005). Cuticular Hydrocarbons as Sex Pheromone of the Bee Colletes cunicularius and the Key to its Mimicry by the Sexually Deceptive Orchid, Ophrys exaltata: Mant et al. Journal of chemical ecology, 31(8), 1765-1787."
Hedychium coronarium,Flower_HS_Thermal desorption,1993,Matsumoto_1993,PHEROBASE,"Matsumoto, F., Idetsuki, H., Harada, K., Nohara, I., & Toyoda, T. (1993). Volatile components of Hedychium coronarium Koenig flowers. Journal of Essential Oil Research, 5(2), 123-133."
Hedychium coronarium,Flower_HS_Solvent desorption,1993,Matsumoto_1993,PHEROBASE,"Matsumoto, F., Idetsuki, H., Harada, K., Nohara, I., & Toyoda, T. (1993). Volatile components of Hedychium coronarium Koenig flowers. Journal of Essential Oil Research, 5(2), 123-133."
Hedychium coronarium,Flower_HS,1993,Matsumoto_1993,PHEROBASE,"Matsumoto, F., Idetsuki, H., Harada, K., Nohara, I., & Toyoda, T. (1993). Volatile components of Hedychium coronarium Koenig flowers. Journal of Essential Oil Research, 5(2), 123-133."
Epidendrum ciliare (12th day flowers),Middle_flowers_HS,1993,Moya_1993,PHEROBASE,"Moya, S., & Ackerman, J. D. (1993). Variation in the floral fragrance of Epidendrum ciliare (Orchidaceae). Nordic Journal of Botany, 13(1), 41-47."
Epidendrum ciliare (12th day flowers),Lower_flowers_HS,1993,Moya_1993,PHEROBASE,"Moya, S., & Ackerman, J. D. (1993). Variation in the floral fragrance of Epidendrum ciliare (Orchidaceae). Nordic Journal of Botany, 13(1), 41-47."
Epidendrum ciliare (Middle flowers),2nd_day_flowers_HS,1993,Moya_1993,PHEROBASE,"Moya, S., & Ackerman, J. D. (1993). Variation in the floral fragrance of Epidendrum ciliare (Orchidaceae). Nordic Journal of Botany, 13(1), 41-47."
Epidendrum ciliare (Middle flowers),5th_day_flowers_HS,1993,Moya_1993,PHEROBASE,"Moya, S., & Ackerman, J. D. (1993). Variation in the floral fragrance of Epidendrum ciliare (Orchidaceae). Nordic Journal of Botany, 13(1), 41-47."
Epidendrum ciliare (5 day Middle flowers),Flower_HS,1993,Moya_1993,PHEROBASE,"Moya, S., & Ackerman, J. D. (1993). Variation in the floral fragrance of Epidendrum ciliare (Orchidaceae). Nordic Journal of Botany, 13(1), 41-47."
Epidendrum ciliare (3 day lower flowers),Flower_HS,1993,Moya_1993,PHEROBASE,"Moya, S., & Ackerman, J. D. (1993). Variation in the floral fragrance of Epidendrum ciliare (Orchidaceae). Nordic Journal of Botany, 13(1), 41-47."
Epidendrum ciliare (Plant 1),Flower_HS,1993,Moya_1993,PHEROBASE,"Moya, S., & Ackerman, J. D. (1993). Variation in the floral fragrance of Epidendrum ciliare (Orchidaceae). Nordic Journal of Botany, 13(1), 41-47."
Epidendrum ciliare (Plant 7),Flower_HS,1993,Moya_1993,PHEROBASE,"Moya, S., & Ackerman, J. D. (1993). Variation in the floral fragrance of Epidendrum ciliare (Orchidaceae). Nordic Journal of Botany, 13(1), 41-47."
Epidendrum ciliare (Plant 2 shoot 1),Flower_HS,1993,Moya_1993,PHEROBASE,"Moya, S., & Ackerman, J. D. (1993). Variation in the floral fragrance of Epidendrum ciliare (Orchidaceae). Nordic Journal of Botany, 13(1), 41-47."
Epidendrum ciliare (Plant 2 shoot 2),Flower_HS,1993,Moya_1993,PHEROBASE,"Moya, S., & Ackerman, J. D. (1993). Variation in the floral fragrance of Epidendrum ciliare (Orchidaceae). Nordic Journal of Botany, 13(1), 41-47."
Epidendrum ciliare (Rio Grande),Flower_HS,1993,Moya_1993,PHEROBASE,"Moya, S., & Ackerman, J. D. (1993). Variation in the floral fragrance of Epidendrum ciliare (Orchidaceae). Nordic Journal of Botany, 13(1), 41-47."
Berberis vulgaris (Felsberg locality),Leaves_HS,2002,Naef_2002,PHEROBASE,"Naef, A., Roy, B. A., Kaiser, R., & Honegger, R. (2002). Insect?mediated reproduction of systemic infections by Puccinia arrhenatheri on Berberis vulgaris. New Phytologist, 154(3), 717-730."
Berberis vulgaris (Zurich Botanical Garden),Leaves_HS,2002,Naef_2002,PHEROBASE,"Naef, A., Roy, B. A., Kaiser, R., & Honegger, R. (2002). Insect?mediated reproduction of systemic infections by Puccinia arrhenatheri on Berberis vulgaris. New Phytologist, 154(3), 717-730."
Berberis vulgaris (Zurich Botanical Garden),Flowers_HS,2002,Naef_2002,PHEROBASE,"Naef, A., Roy, B. A., Kaiser, R., & Honegger, R. (2002). Insect?mediated reproduction of systemic infections by Puccinia arrhenatheri on Berberis vulgaris. New Phytologist, 154(3), 717-730."
Rosa gallica,Flower_HS,1987,Nakamura_1987,PHEROBASE,"Nakamura, S. (1987). Scent and component analysis of the hybrid tea rose. Perfum Flavor, 12, 43-45."
Rosa damascena trigi,Flower_HS,1987,Nakamura_1987,PHEROBASE,"Nakamura, S. (1987). Scent and component analysis of the hybrid tea rose. Perfum Flavor, 12, 43-45."
Rosa centifolia,Flower_HS,1987,Nakamura_1987,PHEROBASE,"Nakamura, S. (1987). Scent and component analysis of the hybrid tea rose. Perfum Flavor, 12, 43-45."
Rosa chinensis minima,Flower_HS,1987,Nakamura_1987,PHEROBASE,"Nakamura, S. (1987). Scent and component analysis of the hybrid tea rose. Perfum Flavor, 12, 43-45."
Rosa gigantea,Flower_HS,1987,Nakamura_1987,PHEROBASE,"Nakamura, S. (1987). Scent and component analysis of the hybrid tea rose. Perfum Flavor, 12, 43-45."
Cymbidium faberi 'Dawipin',Flower_HS,1990,Omata_1990,PHEROBASE,"Omata, A., Nakamura, S., Yomogida, K., Moriai, K. I., Ichikawa, Y., & Watanabe, I. (1990). Volatile components of TO-YO-RAN flowers (Cymbidium faberi and Cymbidium virescens). Agricultural and Biological Chemistry, 54(4), 1029-1033."
Cymbidium virescens 'Songmei',Flower_HS,1990,Omata_1990,PHEROBASE,"Omata, A., Nakamura, S., Yomogida, K., Moriai, K. I., Ichikawa, Y., & Watanabe, I. (1990). Volatile components of TO-YO-RAN flowers (Cymbidium faberi and Cymbidium virescens). Agricultural and Biological Chemistry, 54(4), 1029-1033."
Nelumbo nucifera 'Shinnyoren',Stamen_HS,1991,Omata_1991,PHEROBASE,"Omata, A., Yomogida, K., Nakamura, S., Ohta, T., Izawa, Y., & Watanabe, S. (1991). The scent of lotus flowers. Journal of Essential Oil Research, 3(4), 221-227."
Nelumbo nucifera 'Shinnyoren',Petal_HS,1991,Omata_1991,PHEROBASE,"Omata, A., Yomogida, K., Nakamura, S., Ohta, T., Izawa, Y., & Watanabe, S. (1991). The scent of lotus flowers. Journal of Essential Oil Research, 3(4), 221-227."
Brassica rapa L.,Flower_HS,1999,Omura_1999,PHEROBASE,"Ômura, H., Honda, K., & Hayashi, N. (1999). Chemical and chromatic bases for preferential visiting by the cabbage butterfly, Pieris rapae, to rape flowers. Journal of Chemical Ecology, 25(8), 1895-1906."
Brassica rapa L.,Flower_Solvent extraction,1999,Omura_1999,PHEROBASE,"Ômura, H., Honda, K., & Hayashi, N. (1999). Chemical and chromatic bases for preferential visiting by the cabbage butterfly, Pieris rapae, to rape flowers. Journal of Chemical Ecology, 25(8), 1895-1906."
Neofinetia falcata,Flower_HS,1999,Ono_1999,PHEROBASE,"Ono, T., & Miyazawa, M. (1999). Headspace constituents of flowers of Neofinetia falcata. Natural Product Letters, 13(1), 53-57."
Actaea rubra USA,Flower_HS,1987,Pellmyr_1987,PHEROBASE,"Pellmyr, O., Bergström, G., & Groth, I. (1987). Floral fragrances in Actaea, using differential chromatograms to discern between floral and vegetative volatiles. Phytochemistry, 26(6), 1603-1606."
Actaea rubra Asia,Flower_HS,1987,Pellmyr_1987,PHEROBASE,"Pellmyr, O., Bergström, G., & Groth, I. (1987). Floral fragrances in Actaea, using differential chromatograms to discern between floral and vegetative volatiles. Phytochemistry, 26(6), 1603-1606."
Actaea asiatica,Flower_HS,1987,Pellmyr_1987,PHEROBASE,"Pellmyr, O., Bergström, G., & Groth, I. (1987). Floral fragrances in Actaea, using differential chromatograms to discern between floral and vegetative volatiles. Phytochemistry, 26(6), 1603-1606."
Actaea spicata,Flower_HS,1987,Pellmyr_1987,PHEROBASE,"Pellmyr, O., Bergström, G., & Groth, I. (1987). Floral fragrances in Actaea, using differential chromatograms to discern between floral and vegetative volatiles. Phytochemistry, 26(6), 1603-1606."
Actaea pachypoda,Flower_HS,1987,Pellmyr_1987,PHEROBASE,"Pellmyr, O., Bergström, G., & Groth, I. (1987). Floral fragrances in Actaea, using differential chromatograms to discern between floral and vegetative volatiles. Phytochemistry, 26(6), 1603-1606."
Zygogynum baillonii,Flower_HS,1990,Pellmyr_1990,PHEROBASE,"Pellmyr, O., Thien, L. B., Bergström, G., & Groth, I. (1990). Pollination of New Caledonian Winteraceae: opportunistic shifts or parallel radiation with their pollinators?. Plant Systematics and Evolution, 173(3), 143-157."
Zygogynum bicolor,Flower_HS,1990,Pellmyr_1990,PHEROBASE,"Pellmyr, O., Thien, L. B., Bergström, G., & Groth, I. (1990). Pollination of New Caledonian Winteraceae: opportunistic shifts or parallel radiation with their pollinators?. Plant Systematics and Evolution, 173(3), 143-157."
Zygogynum viellardii,Flower_HS,1990,Pellmyr_1990,PHEROBASE,"Pellmyr, O., Thien, L. B., Bergström, G., & Groth, I. (1990). Pollination of New Caledonian Winteraceae: opportunistic shifts or parallel radiation with their pollinators?. Plant Systematics and Evolution, 173(3), 143-157."
Zygogynum mackeei,Flower_HS,1990,Pellmyr_1990,PHEROBASE,"Pellmyr, O., Thien, L. B., Bergström, G., & Groth, I. (1990). Pollination of New Caledonian Winteraceae: opportunistic shifts or parallel radiation with their pollinators?. Plant Systematics and Evolution, 173(3), 143-157."
Zygogynum p. balansae,Flower_HS,1990,Pellmyr_1990,PHEROBASE,"Pellmyr, O., Thien, L. B., Bergström, G., & Groth, I. (1990). Pollination of New Caledonian Winteraceae: opportunistic shifts or parallel radiation with their pollinators?. Plant Systematics and Evolution, 173(3), 143-157."
Zygogynum p. pomiferum,Flower_HS,1990,Pellmyr_1990,PHEROBASE,"Pellmyr, O., Thien, L. B., Bergström, G., & Groth, I. (1990). Pollination of New Caledonian Winteraceae: opportunistic shifts or parallel radiation with their pollinators?. Plant Systematics and Evolution, 173(3), 143-157."
Exospermum stipitatum,Flower_HS,1990,Pellmyr_1990,PHEROBASE,"Pellmyr, O., Thien, L. B., Bergström, G., & Groth, I. (1990). Pollination of New Caledonian Winteraceae: opportunistic shifts or parallel radiation with their pollinators?. Plant Systematics and Evolution, 173(3), 143-157."
Bubbia pauciflora,Flower_HS,1990,Pellmyr_1990,PHEROBASE,"Pellmyr, O., Thien, L. B., Bergström, G., & Groth, I. (1990). Pollination of New Caledonian Winteraceae: opportunistic shifts or parallel radiation with their pollinators?. Plant Systematics and Evolution, 173(3), 143-157."
Bubbia spec. nova,Flower_HS,1990,Pellmyr_1990,PHEROBASE,"Pellmyr, O., Thien, L. B., Bergström, G., & Groth, I. (1990). Pollination of New Caledonian Winteraceae: opportunistic shifts or parallel radiation with their pollinators?. Plant Systematics and Evolution, 173(3), 143-157."
Bellionum spec. nova,Flower_HS,1990,Pellmyr_1990,PHEROBASE,"Pellmyr, O., Thien, L. B., Bergström, G., & Groth, I. (1990). Pollination of New Caledonian Winteraceae: opportunistic shifts or parallel radiation with their pollinators?. Plant Systematics and Evolution, 173(3), 143-157."
Zamia furfuracea,Flower_HS,1991,Pellmyr_1991,PHEROBASE,"Pellmyr, O., Tang, W., Groth, I., Bergström, G., & Thiens, L. B. (1991). Cycad cone and angiosperm floral volatiles: inferences for the evolution of insect pollination. Biochemical Systematics and Ecology, 19(8), 623-627."
Zamia pumila,Flower_HS,1991,Pellmyr_1991,PHEROBASE,"Pellmyr, O., Tang, W., Groth, I., Bergström, G., & Thiens, L. B. (1991). Cycad cone and angiosperm floral volatiles: inferences for the evolution of insect pollination. Biochemical Systematics and Ecology, 19(8), 623-627."
Macrozamia moorei,Flower_HS,1991,Pellmyr_1991,PHEROBASE,"Pellmyr, O., Tang, W., Groth, I., Bergström, G., & Thiens, L. B. (1991). Cycad cone and angiosperm floral volatiles: inferences for the evolution of insect pollination. Biochemical Systematics and Ecology, 19(8), 623-627."
Encephalartos altensteinii,Flower_HS,1991,Pellmyr_1991,PHEROBASE,"Pellmyr, O., Tang, W., Groth, I., Bergström, G., & Thiens, L. B. (1991). Cycad cone and angiosperm floral volatiles: inferences for the evolution of insect pollination. Biochemical Systematics and Ecology, 19(8), 623-627."
Cycas rumphii (Male),Flower_HS,1991,Pellmyr_1991,PHEROBASE,"Pellmyr, O., Tang, W., Groth, I., Bergström, G., & Thiens, L. B. (1991). Cycad cone and angiosperm floral volatiles: inferences for the evolution of insect pollination. Biochemical Systematics and Ecology, 19(8), 623-627."
Cycas rumphii (Female),Flower_HS,1991,Pellmyr_1991,PHEROBASE,"Pellmyr, O., Tang, W., Groth, I., Bergström, G., & Thiens, L. B. (1991). Cycad cone and angiosperm floral volatiles: inferences for the evolution of insect pollination. Biochemical Systematics and Ecology, 19(8), 623-627."
Parkia biglobosa (Sine salmon),Flower_HS,2000,Perrersson_2000,PHEROBASE,"Pettersson, S., & Knudsen, J. T. (2001). Floral scent and nectar production in Parkia biglobosa Jacq.(Leguminosae: Mimosoideae). Botanical Journal of the Linnean Society, 135(2), 97-106."
"Parkia biglobosa (Badi, Simenti)",Flower_HS,2000,Perrersson_2000,PHEROBASE,"Pettersson, S., & Knudsen, J. T. (2001). Floral scent and nectar production in Parkia biglobosa Jacq.(Leguminosae: Mimosoideae). Botanical Journal of the Linnean Society, 135(2), 97-106."
Parkia biglobosa (Asserik),Flower_HS,2000,Perrersson_2000,PHEROBASE,"Pettersson, S., & Knudsen, J. T. (2001). Floral scent and nectar production in Parkia biglobosa Jacq.(Leguminosae: Mimosoideae). Botanical Journal of the Linnean Society, 135(2), 97-106."
Hypericum alpinum,Aerial parts_EO,2007,Saroglou_2007,PHEROBASE,"Saroglou, V., Marin, P. D., Rancic, A., Veljic, M., & Skaltsa, H. (2007). Composition and antimicrobial activity of the essential oil of six Hypericum species from Serbia. Biochemical Systematics and Ecology, 35(3), 146-152."
Hypericum barbatum,Aerial parts_EO,2007,Saroglou_2007,PHEROBASE,"Saroglou, V., Marin, P. D., Rancic, A., Veljic, M., & Skaltsa, H. (2007). Composition and antimicrobial activity of the essential oil of six Hypericum species from Serbia. Biochemical Systematics and Ecology, 35(3), 146-152."
Hypericum rumeliacum,Aerial parts_EO,2007,Saroglou_2007,PHEROBASE,"Saroglou, V., Marin, P. D., Rancic, A., Veljic, M., & Skaltsa, H. (2007). Composition and antimicrobial activity of the essential oil of six Hypericum species from Serbia. Biochemical Systematics and Ecology, 35(3), 146-152."
Hypericum maculatum,Aerial parts_EO,2007,Saroglou_2007,PHEROBASE,"Saroglou, V., Marin, P. D., Rancic, A., Veljic, M., & Skaltsa, H. (2007). Composition and antimicrobial activity of the essential oil of six Hypericum species from Serbia. Biochemical Systematics and Ecology, 35(3), 146-152."
Hypericum perforatum,Aerial parts_EO,2007,Saroglou_2007,PHEROBASE,"Saroglou, V., Marin, P. D., Rancic, A., Veljic, M., & Skaltsa, H. (2007). Composition and antimicrobial activity of the essential oil of six Hypericum species from Serbia. Biochemical Systematics and Ecology, 35(3), 146-152."
Hypericum hirsutum,Aerial parts_EO,2007,Saroglou_2007,PHEROBASE,"Saroglou, V., Marin, P. D., Rancic, A., Veljic, M., & Skaltsa, H. (2007). Composition and antimicrobial activity of the essential oil of six Hypericum species from Serbia. Biochemical Systematics and Ecology, 35(3), 146-152."
Cyclanthus bipartitus Poit,Flower_HS,1999,Schultz_1999,PHEROBASE,"Schultz, K., Kaiser, R., & Knudsen, J. T. (1999). Cyclanthone and derivatives, new natural products in the flower scent of Cyclanthus bipartitus Poit. Flavour and fragrance journal, 14(3), 185-190."
Anthurium antioquiense,Flower_HS,2002,Schwerdtfeger_2002,PHEROBASE,"Schwerdtfeger, M., Gerlach, G., & Kaiser, R. (2002). Anthecology in the neotropical genus Anthurium (Araceae): a preliminary report. Selbyana, 258-267."
Anthurium apaporanum,Flower_HS,2002,Schwerdtfeger_2002,PHEROBASE,"Schwerdtfeger, M., Gerlach, G., & Kaiser, R. (2002). Anthecology in the neotropical genus Anthurium (Araceae): a preliminary report. Selbyana, 258-267."
Anthurium armeniense (Guatemala Izabal),Flower_HS,2002,Schwerdtfeger_2002,PHEROBASE,"Schwerdtfeger, M., Gerlach, G., & Kaiser, R. (2002). Anthecology in the neotropical genus Anthurium (Araceae): a preliminary report. Selbyana, 258-267."
Anthurium  armeniense (Guatemala Baja Verapaz),Flower_HS,2002,Schwerdtfeger_2002,PHEROBASE,"Schwerdtfeger, M., Gerlach, G., & Kaiser, R. (2002). Anthecology in the neotropical genus Anthurium (Araceae): a preliminary report. Selbyana, 258-267."
Anthurium huixtlense,Flower_HS,2002,Schwerdtfeger_2002,PHEROBASE,"Schwerdtfeger, M., Gerlach, G., & Kaiser, R. (2002). Anthecology in the neotropical genus Anthurium (Araceae): a preliminary report. Selbyana, 258-267."
Anthurium numphaeifolium,Flower_HS,2002,Schwerdtfeger_2002,PHEROBASE,"Schwerdtfeger, M., Gerlach, G., & Kaiser, R. (2002). Anthecology in the neotropical genus Anthurium (Araceae): a preliminary report. Selbyana, 258-267."
Anthurium sp.,Flower_HS,2002,Schwerdtfeger_2002,PHEROBASE,"Schwerdtfeger, M., Gerlach, G., & Kaiser, R. (2002). Anthecology in the neotropical genus Anthurium (Araceae): a preliminary report. Selbyana, 258-267."
Anthurium hookeri,Flower_HS,2002,Schwerdtfeger_2002,PHEROBASE,"Schwerdtfeger, M., Gerlach, G., & Kaiser, R. (2002). Anthecology in the neotropical genus Anthurium (Araceae): a preliminary report. Selbyana, 258-267."
Anthurium longipeltatum,Flower_HS,2002,Schwerdtfeger_2002,PHEROBASE,"Schwerdtfeger, M., Gerlach, G., & Kaiser, R. (2002). Anthecology in the neotropical genus Anthurium (Araceae): a preliminary report. Selbyana, 258-267."
Anthurium salvadorense,Flower_HS,2002,Schwerdtfeger_2002,PHEROBASE,"Schwerdtfeger, M., Gerlach, G., & Kaiser, R. (2002). Anthecology in the neotropical genus Anthurium (Araceae): a preliminary report. Selbyana, 258-267."
Lathyrus odoratus (Large buds),Flower_HS,2005,Sexton_2005,PHEROBASE,"Sexton, R., Stopford, A. P., Moodie, W. T., & Porter, A. E. (2005). Aroma production from cut sweet pea flowers (Lathyrus odoratus): the role of ethylene. Physiologia Plantarum, 124(3), 381-389."
Lathyrus odoratus (Unfurling buds),Flower_HS,2005,Sexton_2005,PHEROBASE,"Sexton, R., Stopford, A. P., Moodie, W. T., & Porter, A. E. (2005). Aroma production from cut sweet pea flowers (Lathyrus odoratus): the role of ethylene. Physiologia Plantarum, 124(3), 381-389."
Lathyrus odoratus (Fully opened flowers),Flower_HS,2005,Sexton_2005,PHEROBASE,"Sexton, R., Stopford, A. P., Moodie, W. T., & Porter, A. E. (2005). Aroma production from cut sweet pea flowers (Lathyrus odoratus): the role of ethylene. Physiologia Plantarum, 124(3), 381-389."
Lathyrus odoratus (Wilting flower),Flower_HS,2005,Sexton_2005,PHEROBASE,"Sexton, R., Stopford, A. P., Moodie, W. T., & Porter, A. E. (2005). Aroma production from cut sweet pea flowers (Lathyrus odoratus): the role of ethylene. Physiologia Plantarum, 124(3), 381-389."
Lathyrus odoratus (Standard flower),Flower_HS,2005,Sexton_2005,PHEROBASE,"Sexton, R., Stopford, A. P., Moodie, W. T., & Porter, A. E. (2005). Aroma production from cut sweet pea flowers (Lathyrus odoratus): the role of ethylene. Physiologia Plantarum, 124(3), 381-389."
Lathyrus odoratus (Both wing petals),Flower_HS,2005,Sexton_2005,PHEROBASE,"Sexton, R., Stopford, A. P., Moodie, W. T., & Porter, A. E. (2005). Aroma production from cut sweet pea flowers (Lathyrus odoratus): the role of ethylene. Physiologia Plantarum, 124(3), 381-389."
Lathyrus odoratus (Keel petals),Flower_HS,2005,Sexton_2005,PHEROBASE,"Sexton, R., Stopford, A. P., Moodie, W. T., & Porter, A. E. (2005). Aroma production from cut sweet pea flowers (Lathyrus odoratus): the role of ethylene. Physiologia Plantarum, 124(3), 381-389."
Lathyrus odoratus (Rest of flower),Flower_HS,2005,Sexton_2005,PHEROBASE,"Sexton, R., Stopford, A. P., Moodie, W. T., & Porter, A. E. (2005). Aroma production from cut sweet pea flowers (Lathyrus odoratus): the role of ethylene. Physiologia Plantarum, 124(3), 381-389."
Sauromatum appendix,Flower_HS,1996,Skubatz_1996,PHEROBASE,"Skubatz, H., Kunkel, D. D., Howald, W. N., Trenkle, R., & Mookherjee, B. (1996). The Sauromatum guttatum appendix as an osmophore: excretory pathways, composition of volatiles and attractiveness to insects. New Phytologist, 134(4), 631-640."
