"Supplementary_Data_1. List of plant species selected for the study, including details of the plant part used, extraction method, and corresponding references. The database(s) referred to for data collection are also included.",,,,,
Taxa,Plant part_Methodology,Year,Author_Year,Database,References
Salvia sclarea,Flowers_EO,2005,Farkas_2005,AROMADB-CIMAP,"Farka, P., Hollá, M., Tekel, J., Mellen, S., & Vaverková, T. (2005). Composition of the essential oils from the flowers and leaves of Salvia sclarea L.(Lamiaceae) cultivated in Slovak Republic. Journal of Essential Oil Research, 17(2), 141-144."
Salvia sclarea,Leaf_EO,2005,Farkas_2005,AROMADB-CIMAP,"Farka, P., Hollá, M., Tekel, J., Mellen, S., & Vaverková, T. (2005). Composition of the essential oils from the flowers and leaves of Salvia sclarea L.(Lamiaceae) cultivated in Slovak Republic. Journal of Essential Oil Research, 17(2), 141-144."
Achillea millefolium subsp. millefolium Afan. (Asteraceae),Herbal Parts/Essential Oil/ Methanol Extracts,2003,"Ferda Candan, Mehmet Unlu, BektasTepe,  Dimitra Daferera, Moschos Polissiou, Atalay Sökmen,  H. A¸sk?n Akpulat/2003                                                                                                               ",AROMADB-CIMAP,"Candan, F., Unlu, M., Tepe, B., Daferera, D., Polissiou, M., Sökmen, A., & Akpulat, H. A. (2003). Antioxidant and antimicrobial activity of the essential oil and methanol extracts of Achillea millefolium subsp. millefolium Afan.(Asteraceae). Journal of ethnopharmacology, 87(2-3), 215-220."
Monarda didyma,Leaf_EO,2006,Fraternale_2006,AROMADB-CIMAP,"Fraternale, D., Giamperi, L., Bucchini, A., Ricci, D., Epifano, F., Burini, G., & Curini, M. (2006). Chemical composition, antifungal and in vitro antioxidant properties of Monarda didyma L. essential oil. Journal of essential oil research, 18(5), 581-585."
Monarda didyma,Flowers_EO,2006,Fraternale_2006,AROMADB-CIMAP,"Fraternale, D., Giamperi, L., Bucchini, A., Ricci, D., Epifano, F., Burini, G., & Curini, M. (2006). Chemical composition, antifungal and in vitro antioxidant properties of Monarda didyma L. essential oil. Journal of essential oil research, 18(5), 581-585."
Magnolia grandiflora,Flowers_EO,1999,Garg_1999,AROMADB-CIMAP,"Garg, S. N., & Kumar, S. (1999). Volatile constituents from the flowers of Magnolia grandiflora L. from Lucknow, India. Journal of Essential Oil Research, 11(5), 633-634."
Satureja hortensis,Seeds_EO,2002,Ghannadi_2002,AROMADB-CIMAP,"Ghannadi, A. (2002). Composition of the essential oil of Satureja hortensis L. seeds from Iran. Journal of Essential Oil Research, 14(1), 35-36."
Oliveria decumbens,Essential Oil,2005,"Gholamreza Amin a, M.H. Salehi Sourmaghi a , Maral Zahedi a , Mahnaz Khanavi a , Nasrin Samadi b/2005",AROMADB-CIMAP,"Amin, G., Sourmaghi, M. S., Zahedi, M., Khanavi, M., & Samadi, N. (2005). Essential oil composition and antimicrobial activity of Oliveria decumbens. Fitoterapia, 76(7-8), 704-707."
Foeniculum vulgare(Patti),Aerial Parts/Essential Oil,2000,"Giuseppe Ruberto,M. Tiziana Baratta, Stanley G. Deans, H.J. Damien Dorman/2000",AROMADB-CIMAP,"Ruberto, G., Baratta, M. T., Deans, S. G., & Dorman, H. D. (2000). Antioxidant and antimicrobial activity of Foeniculum vulgare and Crithmum maritimum essential oils. Planta medica, 66(08), 687-693."
Foeniculum vulgare(Palagonia),Aerial Parts/Essential Oil,2000,"Giuseppe Ruberto,M. Tiziana Baratta, Stanley G. Deans, H.J. Damien Dorman/2000",AROMADB-CIMAP,"Ruberto, G., Baratta, M. T., Deans, S. G., & Dorman, H. D. (2000). Antioxidant and antimicrobial activity of Foeniculum vulgare and Crithmum maritimum essential oils. Planta medica, 66(08), 687-693."
