Name,Biosynthetic_class,Structural_class,EXT_k2,EXT_k3,EXT_k4,EXT_k5,EXT_k6,EXT_k7,EXT_k8,EXT_k9,EXT_k10,MACCS_k2,MACCS_k3,MACCS_k4,MACCS_k5,MACCS_k6,MACCS_k7,MACCS_k8,MACCS_k9,MACCS_k10,PubChem_k2,PubChem_k3,PubChem_k4,PubChem_k5,PubChem_k6,PubChem_k7,PubChem_k8,PubChem_k9,PubChem_k10,Sub_k2,Sub_k3,Sub_k4,Sub_k5,Sub_k6,Sub_k7,Sub_k8,Sub_k9,Sub_k10,SubCount_k2,SubCount_k3,SubCount_k4,SubCount_k5,SubCount_k6,SubCount_k7,SubCount_k8,SubCount_k9,SubCount_k10
"2,6,8-trimethyl-decane",FADs,Aliphatics and C5 branched,0,0,1,0,5,2,2,0,9,0,1,0,2,0,6,6,6,6,0,2,2,2,2,0,0,3,1,1,0,3,3,3,1,0,4,4,0,1,0,1,1,0,7,7,7
"2,6-dimethoxy-4-(2-propenyl)-phenol",Shikimate_derived_Aromatics,BP,0,2,2,2,2,0,1,1,0,0,2,2,0,5,5,5,5,5,1,1,0,0,5,5,5,5,5,0,1,0,0,5,5,5,5,2,1,0,3,3,3,3,3,3,3
"2,6-dimethyl-1,5,7-octatrien-3-ol",Terpenoids,MT,0,0,1,0,5,2,2,0,3,0,2,2,0,2,2,2,0,4,0,0,3,3,1,1,1,0,3,1,0,1,1,1,0,3,3,3,1,0,1,0,0,6,2,2,2
"2,6-dimethyl-3,5-heptadione",FADs,Aliphatics and C5 branched,0,0,1,0,5,2,2,0,9,0,2,2,0,2,2,2,0,4,0,2,2,2,2,0,0,3,1,0,1,0,0,2,2,2,2,0,1,0,1,0,0,6,2,2,2
"2,6-dimethyl-4-heptanone",FADs,Aliphatics and C5 branched,0,0,1,0,5,2,2,0,9,0,2,2,0,2,2,2,0,4,0,2,2,2,2,0,0,3,1,0,1,0,0,2,2,2,2,0,1,0,1,0,0,6,2,2,2
"2,6-dimethyl-5-heptenal",FADs,Aliphatics and C5 branched,0,0,1,0,5,2,2,0,3,1,0,3,3,3,3,3,3,3,0,0,1,1,0,2,2,2,2,0,1,0,4,4,4,4,1,1,1,0,1,0,0,6,2,2,2
"2,6-dimethylcyclohexanol",Others,Others,0,0,1,0,1,1,0,8,8,1,0,1,1,1,0,7,7,7,0,2,2,2,2,0,0,8,8,1,0,1,1,1,0,3,3,3,1,0,1,0,0,1,1,0,4
"2,6-dimethylpyrazine",Others,Aromatic_N/S,0,2,2,2,2,0,1,1,0,0,2,2,0,2,2,2,0,9,1,1,0,4,4,4,4,4,4,0,1,0,0,5,5,5,5,2,1,0,3,3,3,3,3,3,3
"2,6-di-tert-butylquinone",Shikimate_derived_Aromatics,BP,1,1,3,1,0,5,5,2,2,1,0,1,1,1,0,0,8,8,0,0,1,1,0,2,2,2,2,0,2,2,2,0,6,6,6,6,1,0,1,0,0,6,2,2,2
2-acetylfuran,Others,Others,0,2,2,2,2,0,1,1,0,1,0,1,1,1,0,0,2,2,1,1,0,0,5,5,5,5,5,0,2,2,2,0,3,1,0,9,1,0,3,3,3,3,3,3,3
2-acetylpyridine,Others,Aromatic_N/S,0,2,2,2,2,0,1,1,0,0,2,2,0,2,2,2,0,9,1,1,0,4,4,4,4,4,4,0,2,2,2,0,3,1,0,9,1,0,3,3,3,3,3,3,3
2-aminoacetophenone,Others,Aromatic_N/S,0,2,2,2,2,0,1,1,0,0,2,2,0,2,2,2,0,9,1,1,0,0,3,3,3,1,0,0,2,2,2,0,3,1,0,9,1,0,3,3,3,3,3,3,3
2-aminobenzaldehyde,Others,Aromatic_N/S,0,2,2,2,2,0,1,1,0,0,2,2,0,2,2,2,0,9,1,1,0,4,4,4,4,4,4,0,2,2,2,0,3,1,0,9,1,0,3,3,3,3,3,3,3
2-butanol,FADs,Aliphatics and C5 branched,0,0,1,0,5,2,2,0,3,0,2,2,0,2,2,2,0,4,0,2,2,2,2,0,0,8,8,1,0,1,1,1,0,3,3,3,1,0,1,0,5,5,5,5,5
2-butenal,FADs,Aliphatics and C5 branched,0,0,1,0,5,2,2,0,3,0,2,2,0,2,2,2,0,4,0,0,3,3,1,1,1,0,3,0,2,2,2,0,3,1,0,5,1,0,1,0,5,5,5,5,5
"2-butenoic acid,3-methyl ethyl ester",FADs,Aliphatics and C5 branched,0,0,1,0,5,2,2,0,3,0,1,0,4,4,4,4,4,1,0,0,3,3,1,1,1,0,9,0,2,2,2,0,3,1,0,5,1,0,1,0,5,5,5,5,5
2-butylfuran,Others,Others,0,2,2,2,2,0,1,1,0,1,0,1,1,1,0,0,2,2,1,1,0,0,5,5,5,5,5,0,1,0,0,5,5,5,5,2,1,0,3,3,3,3,3,3,3
2-butylpyridine,Others,Aromatic_N/S,0,2,2,2,2,0,1,1,0,0,2,2,0,2,2,2,0,9,1,1,0,4,4,4,4,4,4,0,1,0,0,5,5,5,5,2,1,0,3,3,3,3,3,3,3
2-dodecenol,FADs,Aliphatics and C5 branched,1,1,3,1,0,6,6,6,6,0,1,0,2,0,1,1,1,0,0,0,3,3,1,1,1,0,3,1,0,1,1,1,0,7,7,7,0,1,0,1,1,0,7,7,7
2-epi-Ziza-6(13)-en-12-al,Terpenoids,ST,0,0,1,0,1,1,0,5,5,1,0,1,1,1,0,0,8,8,0,0,1,1,0,2,2,2,2,0,1,0,4,4,4,4,1,1,0,2,2,2,2,2,0,8,8
2-ethoxyethyl acetate,FADs,Aliphatics and C5 branched,0,0,1,0,5,2,2,0,3,0,1,0,4,4,4,4,4,1,0,2,2,2,2,0,7,7,7,0,1,0,4,4,4,4,1,1,1,0,1,0,0,6,2,2,2
2-ethyl cyclobutanol,Others,Others,0,0,1,0,1,1,0,8,8,1,0,1,1,1,0,7,7,7,0,2,2,2,2,0,0,8,8,1,0,1,1,1,0,3,3,3,1,0,1,0,0,1,1,0,4
2-ethyl-1-hexanol,FADs,Aliphatics and C5 branched,0,0,1,0,1,1,0,8,8,0,1,0,2,0,1,1,1,0,0,2,2,2,2,0,0,8,8,1,0,1,1,1,0,7,7,7,1,0,1,0,0,6,2,2,2
2-ethyl-2-hexenal,FADs,Aliphatics and C5 branched,0,0,1,0,5,2,2,0,3,1,0,3,3,3,3,3,3,3,0,0,3,3,1,1,1,0,3,0,2,2,2,0,3,1,0,5,1,0,1,0,0,6,2,2,2
"2-ethyl-3,5-dimethylpyrazine",Others,Aromatic_N/S,0,2,2,2,2,0,1,1,0,0,2,2,0,2,2,2,0,9,1,1,0,4,4,4,4,4,4,0,1,0,0,5,5,5,5,2,1,0,3,3,3,3,3,3,3
2-ethyl-3-methylpyrazine,Others,Aromatic_N/S,0,2,2,2,2,0,1,1,0,0,2,2,0,2,2,2,0,9,1,1,0,4,4,4,4,4,4,0,1,0,0,5,5,5,5,2,1,0,3,3,3,3,3,3,3
2-ethyl-5-methylpyrazine,Others,Aromatic_N/S,0,2,2,2,2,0,1,1,0,0,2,2,0,2,2,2,0,9,1,1,0,4,4,4,4,4,4,0,1,0,0,5,5,5,5,2,1,0,3,3,3,3,3,3,3
2-ethyl-6-methylpyrazine,Others,Aromatic_N/S,0,2,2,2,2,0,1,1,0,0,2,2,0,2,2,2,0,9,1,1,0,4,4,4,4,4,4,0,1,0,0,5,5,5,5,2,1,0,3,3,3,3,3,3,3
2-ethylfuran,Others,Others,0,2,2,2,2,0,1,1,0,1,0,1,1,1,0,0,2,2,1,1,0,0,5,5,5,5,5,0,1,0,0,5,5,5,5,2,1,0,3,3,3,3,3,3,3
2-heptadecanol,FADs,Aliphatics and C5 branched,0,0,1,0,1,1,0,8,8,0,1,0,2,0,1,1,1,0,0,2,2,2,2,0,0,8,8,1,0,1,1,1,0,3,3,3,0,1,0,1,1,0,6,6,6
2-heptadecanone,FADs,Aliphatics and C5 branched,0,0,1,0,5,2,2,0,9,0,1,0,2,0,6,6,6,6,0,2,2,2,2,0,0,3,1,0,1,0,0,2,2,2,2,0,0,1,0,1,1,0,6,6,6
2-heptanol,FADs,Aliphatics and C5 branched,0,0,1,0,1,1,0,8,8,0,1,0,2,0,1,1,1,0,0,2,2,2,2,0,0,8,8,1,0,1,1,1,0,3,3,3,1,0,1,0,0,6,2,2,2
2-heptanone,FADs,Aliphatics and C5 branched,0,0,1,0,5,2,2,0,9,0,1,0,2,0,6,6,6,6,0,2,2,2,2,0,0,3,1,0,1,0,0,2,2,2,2,0,1,0,1,0,0,6,2,2,2
2-heptyl acetate,FADs,Aliphatics and C5 branched,0,0,0,3,3,3,3,3,1,0,1,0,4,4,4,4,4,1,0,2,2,2,2,0,7,7,7,0,1,0,4,4,4,4,1,1,1,0,1,0,0,6,2,2,2
2-hexadecanol,FADs,Aliphatics and C5 branched,0,0,1,0,1,1,0,8,8,0,1,0,2,0,1,1,1,0,0,2,2,2,2,0,0,8,8,1,0,1,1,1,0,3,3,3,0,1,0,1,1,0,6,6,6
2-hexadecanone,FADs,Aliphatics and C5 branched,0,0,1,0,5,2,2,0,9,0,1,0,2,0,6,6,6,6,0,2,2,2,2,0,0,3,1,0,1,0,0,2,2,2,2,0,0,1,0,1,1,0,6,6,6
2-hexanone,FADs,Aliphatics and C5 branched,0,0,1,0,5,2,2,0,9,0,1,0,2,0,6,6,6,6,0,2,2,2,2,0,0,3,1,0,1,0,0,2,2,2,2,0,1,0,1,0,5,5,5,5,5
2-hexyl acetate,FADs,Aliphatics and C5 branched,0,0,0,3,3,3,3,3,1,0,1,0,4,4,4,4,4,1,0,2,2,2,2,0,7,7,7,0,1,0,4,4,4,4,1,1,1,0,1,0,0,6,2,2,2
2-hexyl-1-decanol,FADs,Aliphatics and C5 branched,0,0,1,0,1,1,0,8,8,0,1,0,2,0,1,1,1,0,0,2,2,2,2,0,0,8,8,1,0,1,1,1,0,7,7,7,0,1,0,1,1,0,6,6,6
2-hexyl-1-octanol,FADs,Aliphatics and C5 branched,0,0,1,0,1,1,0,8,8,0,1,0,2,0,1,1,1,0,0,2,2,2,2,0,0,8,8,1,0,1,1,1,0,7,7,7,0,1,0,1,1,0,7,7,7
2-hexylfuran,Others,Others,0,2,2,2,2,0,1,1,0,1,0,1,1,1,0,0,2,2,1,1,0,0,5,5,5,5,5,0,1,0,0,5,5,5,5,2,1,0,3,3,3,3,3,3,3
"2-Hydroxy-1,8-cineole",Terpenoids,MT,0,0,0,3,3,3,3,3,1,1,0,1,1,1,0,0,2,2,0,0,1,1,0,6,6,6,6,1,0,1,1,1,0,3,3,3,1,0,1,0,0,1,1,0,4
2-hydroxy-2-methyl-3-butenyl angelate,Terpenoids,Aliphatics and C5 branched,0,0,0,3,3,3,3,3,1,0,1,0,4,4,4,4,4,1,0,0,3,3,1,1,1,0,9,0,2,2,2,0,3,1,0,5,1,0,1,0,0,6,2,2,2
2-hydroxybutyric acid,FADs,Aliphatics and C5 branched,0,0,1,0,5,2,2,0,3,0,1,0,4,4,4,4,4,1,0,2,2,2,2,0,7,7,7,1,0,1,1,1,0,3,3,3,1,0,1,0,5,5,5,5,5
2-hydroxymethyl benzoic acid,Shikimate_derived_Aromatics,BP,0,2,2,2,2,0,1,1,0,0,2,2,0,2,2,2,0,9,1,1,0,0,3,3,3,1,0,0,2,2,2,0,3,1,0,9,1,0,3,3,3,3,3,3,3
"2-Isopropenyl-1,3,5-trimethylbenzene",Shikimate_derived_Aromatics,BP,0,2,2,2,2,0,1,1,0,0,2,2,0,2,2,2,0,4,1,1,0,0,3,3,3,1,0,1,0,3,3,3,1,0,4,4,1,0,3,3,3,3,3,3,3
2-isopropyl-3-methoxypyrazine,Others,Aromatic_N/S,0,2,2,2,2,0,1,1,0,0,2,2,0,2,2,2,0,9,1,1,0,4,4,4,4,4,4,0,1,0,0,5,5,5,5,2,1,0,3,3,3,3,3,3,3
2-isopropylcyclohexanol,Others,Others,0,0,1,0,1,1,0,8,8,1,0,1,1,1,0,7,7,7,0,2,2,2,2,0,0,8,8,1,0,1,1,1,0,3,3,3,1,0,1,0,0,1,1,0,4
2-methoxy-3-sec-butyl pyrazine,Others,Aromatic_N/S,0,2,2,2,2,0,1,1,0,0,2,2,0,2,2,2,0,9,1,1,0,4,4,4,4,4,4,0,1,0,0,5,5,5,5,2,1,0,3,3,3,3,3,3,3
2-Methyl 4-heptanone,FADs,Aliphatics and C5 branched,0,0,1,0,5,2,2,0,9,0,2,2,0,2,2,2,0,4,0,2,2,2,2,0,0,3,1,0,1,0,0,2,2,2,2,0,1,0,1,0,0,6,2,2,2
2-methyl decane,FADs,Aliphatics and C5 branched,0,0,1,0,5,2,2,0,9,0,1,0,2,0,6,6,6,6,0,2,2,2,2,0,0,3,1,1,0,3,3,3,1,0,4,4,0,1,0,1,1,0,7,7,7
2-methyl dodecane,FADs,Aliphatics and C5 branched,0,0,1,0,5,2,2,0,9,0,1,0,2,0,6,6,6,6,0,2,2,2,2,0,0,3,1,1,0,3,3,3,1,0,4,4,0,1,0,1,1,0,7,7,7
2-methyl furan,Others,Others,0,2,2,2,2,0,1,1,0,1,0,1,1,1,0,0,2,2,1,1,0,0,5,5,5,5,5,0,1,0,0,5,5,5,5,2,1,0,3,3,3,3,3,3,3
2-methyl heptanol,FADs,Aliphatics and C5 branched,0,0,1,0,1,1,0,8,8,0,1,0,2,0,1,1,1,0,0,2,2,2,2,0,0,8,8,1,0,1,1,1,0,7,7,7,1,0,1,0,0,6,2,2,2
2-methyl hexadecane,FADs,Aliphatics and C5 branched,0,0,1,0,5,2,2,0,9,0,1,0,2,0,6,6,6,6,0,2,2,2,2,0,0,3,1,1,0,3,3,3,1,0,4,4,0,1,0,1,1,0,6,6,6
2-methyl octane,FADs,Aliphatics and C5 branched,0,0,1,0,5,2,2,0,9,0,1,0,2,0,6,6,6,6,0,2,2,2,2,0,0,3,1,1,0,3,3,3,1,0,4,4,1,0,1,0,0,6,2,2,2
2-methyl pentane,FADs,Aliphatics and C5 branched,0,0,1,0,5,2,2,0,9,0,1,0,2,0,6,6,6,6,0,2,2,2,2,0,0,3,1,1,0,3,3,3,1,0,4,4,1,0,1,0,5,5,5,5,5
2-methyl-1-penten-3-one,FADs,Aliphatics and C5 branched,0,0,1,0,5,2,2,0,3,0,2,2,0,2,2,2,0,4,0,0,3,3,1,1,1,0,3,0,2,2,2,0,6,6,6,6,1,0,1,0,5,5,5,5,5
2-methyl-1-pentene,FADs,Aliphatics and C5 branched,0,0,1,0,5,2,2,0,3,1,0,3,3,3,3,3,3,3,0,2,2,2,2,0,0,3,1,1,0,3,3,3,1,0,4,4,1,0,1,0,5,5,5,5,5
2-methyl-2-butenyl acetate,FADs,Aliphatics and C5 branched,0,0,0,3,3,3,3,3,1,0,1,0,4,4,4,4,4,1,0,0,3,3,1,1,1,0,9,0,1,0,4,4,4,4,1,1,1,0,1,0,5,5,5,5,5
2-methyl-2-propenyl angelate,FADs,Aliphatics and C5 branched,0,0,0,3,3,3,3,3,1,0,1,0,4,4,4,4,4,1,0,0,3,3,1,1,1,0,9,0,2,2,2,0,3,1,0,5,1,0,1,0,5,5,5,5,5
2-methyl-2-propenyl methacrylate,FADs,Aliphatics and C5 branched,0,0,0,3,3,3,3,3,1,0,1,0,4,4,4,4,4,1,0,0,3,3,1,1,1,0,9,0,2,2,2,0,3,1,0,5,1,0,1,0,5,5,5,5,5
2-methyl-3-buten-2-ol,FADs,Aliphatics and C5 branched,0,0,1,0,5,2,2,0,3,0,2,2,0,2,2,2,0,4,0,0,1,1,0,6,6,6,6,1,0,1,1,1,0,3,3,3,1,0,1,0,5,5,5,5,5
"2-methyl-6-methylene-1,3,7-octatriene",Terpenoids,MT,0,0,1,0,5,2,2,0,3,0,2,2,0,2,2,2,0,4,0,0,3,3,1,1,1,0,3,1,0,3,3,3,1,0,4,4,1,0,1,0,0,6,2,2,2
2-methylamino benzaldehyde,Others,Aromatic_N/S,0,2,2,2,2,0,1,1,0,0,2,2,0,2,2,2,0,9,1,1,0,4,4,4,4,4,4,0,2,2,2,0,3,1,0,9,1,0,3,3,3,3,3,3,3
2-methylbenzaldehyde,Shikimate_derived_Aromatics,BP,0,2,2,2,2,0,1,1,0,0,2,2,0,2,2,2,0,9,1,1,0,0,3,3,3,1,0,0,2,2,2,0,3,1,0,9,1,0,3,3,3,3,3,3,3
2-methylbutanol,FADs,Aliphatics and C5 branched,0,0,1,0,5,2,2,0,3,0,1,0,2,0,1,1,1,0,0,2,2,2,2,0,0,8,8,1,0,1,1,1,0,7,7,7,1,0,1,0,5,5,5,5,5
2-methylbutyl acetate,FADs,Aliphatics and C5 branched,0,0,0,3,3,3,3,3,1,0,1,0,4,4,4,4,4,1,0,2,2,2,2,0,7,7,7,0,1,0,4,4,4,4,1,1,1,0,1,0,0,6,2,2,2
2-methylbutyl angelate,FADs,Aliphatics and C5 branched,0,0,0,3,3,3,3,3,1,0,1,0,4,4,4,4,4,1,0,0,3,3,1,1,1,0,9,0,2,2,2,0,3,1,0,5,1,0,1,0,0,6,2,2,2
2-methylbutyl benzoate,Shikimate_derived_Aromatics,BP,0,2,2,2,2,0,7,7,7,0,1,0,4,4,4,4,4,1,1,1,0,0,3,3,3,1,0,0,2,2,2,0,3,1,0,5,1,0,3,3,3,3,3,3,3
2-methylbutyl butyrate,FADs,Aliphatics and C5 branched,0,0,0,3,3,3,3,3,1,0,1,0,4,4,4,4,4,1,0,2,2,2,2,0,7,7,7,0,1,0,4,4,4,4,1,1,1,0,1,0,0,6,2,2,2
